52529647,,458622,21434950,MAIN,18708552,13,,,,,,,,7168254,qualitative,,6089146,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806773,,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e4 - ~ 1.5e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",,,,,,,,,,2018/11/16,,,2018/11/22,
52529648,,458622,21434948,MAIN,18528002,16,,,,,,,,7168254,qualitative,,6089146,Cell/tumor cell: proliferation/viability/growth,Cytotoxicity,Toxicity/Safety Pharmacology,,,,Effect : cytotoxic,Cytotoxic,1806773,,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 2e5 - ~ 4e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",,,,,,,,,,2018/11/16,,,2018/11/22,
52529649,,458622,21434950,MAIN,18708552,13,,,,,,,,7168255,qualitative,,6089148,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806771,T24 cell line,,,,human,,,,,,,,,,,human,,,"strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 13a, 13b, 14a",,,,,,,,,,2018/11/16,,,2018/11/22,
52529650,,458622,21434951,MAIN,18708553,14,,,,,,,,7168255,qualitative,,6089148,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806771,T24 cell line,,,,human,,,,,,,,,,,human,,,"title compound showed localised uptake and some partial nuclear uptake; title compound showed little or no nuclear uptake; results are shown in fig. 13c, 13d, 14b",,,,,,,,,,2018/11/16,,,2018/11/22,
52529651,,458622,21434949,MAIN,18708551,12,,,,,,,,7168256,qualitative,,6089149,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806772,A-431 cell line,,,,human,,,,,,,,,,,human,,,strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 11a,,,,,,,,,,2018/11/16,,,2018/11/22,
52529652,,458622,21434950,MAIN,18708552,13,,,,,,,,7168256,qualitative,,6089149,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806772,A-431 cell line,,,,human,,,,,,,,,,,human,,,"strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 11b, 12a",,,,,,,,,,2018/11/16,,,2018/11/22,
52529653,,458622,21434951,MAIN,18708553,14,,,,,,,,7168256,qualitative,,6089149,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806772,A-431 cell line,,,,human,,,,,,,,,,,human,,,"title compound showed abnormally long delay before any fluorescence is observed but then showed an equally rapid fluorescence uptake; title compound showed little or no nuclear uptake; results are shown in fig. 11c, 12b",,,,,,,,,,2018/11/16,,,2018/11/22,
52529654,,458622,21434944,MAIN,18030294,18,,,,,,,,7168261,qualitative,,6089154,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806768,HeLa cell line,,,,,,,,,,,,,,,,,,"cell fluorescence increased rapidly during the first 20 minutes after which the signal became constant; results are shown in fig. 28a, 28b",,,,,,,,,,2018/11/16,,,2018/11/22,
52529655,,458622,21434944,MAIN,18030294,18,,,,,,,,7168262,qualitative,,6089153,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after 40 min was observed; results are shown in fig. 29a-d; suggesting mechanism of uptake is endocytosis,,,,,,,,,,2018/11/16,,,2018/11/22,
52529656,,458622,21434950,MAIN,18708552,13,,,,,,,,7168258,qualitative,,6089150,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806766,MCF-7 cell line,,,,,,,,,,,,,,,,,,rapid uptake of the title compound was observed; suggesting mechanism of uptake is endocytosis,,,,,,,,,,2018/11/16,,,2018/11/22,
52529657,,458622,21434950,MAIN,18708552,13,,,,,,,,7168257,qualitative,,6089147,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,"strong uptake of the title compound comparable with IGROV cells study was observed; results are shown in fig. 9b, 10a",,,,,,,,,,2018/11/16,,,2018/11/22,
52529658,,458622,21434951,MAIN,18708553,14,,,,,,,,7168257,qualitative,,6089147,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,strong uptake of the title compound was observed; longer incubation is required to observe similar levels of fluorescence intensity as in the IGROV cells study; title compound showed strong uptake in large specific areas of the cells adjacent to the,,,,,,,,,,2018/11/16,,,2018/11/22,
52529659,,458622,21434949,MAIN,18708551,12,,,,,,,,7168257,qualitative,,6089147,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806769,SW620 cell line,,,,human,,,,,,,,,,,human,,,strong uptake of the title compound was observed; title compound showed strongest nuclear uptake; results are shown in fig. 9a,,,,,,,,,,2018/11/16,,,2018/11/22,
52529660,,458622,21434947,MAIN,18528001,15,,,,,,,,7168259,qualitative,,6089151,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806773,,,,,human,,,,,,,,,,,human,,,uptake of the title compound was observed; restricted molecular rotation inside the cells was suggested; results are shown in fig. 23; 34,,,,,,,,,,2018/11/16,,,2018/11/22,
52529661,,458622,21434948,MAIN,18528002,16,,,,,,,,7168259,qualitative,,6089151,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806773,,,,,human,,,,,,,,,,,human,,,"uptake of the title compound was observed; restricted molecular rotation inside the cells was suggested; results are shown in fig. 24, 34",,,,,,,,,,2018/11/16,,,2018/11/22,
52529662,,458622,21434951,MAIN,18708553,14,,,,,,,,7168263,qualitative,,6089155,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806773,,,,,human,,,,,,,,,,,human,,,"rapid uptake of the title compound was observed; title compound well distributed within the cytoplasm showing areas of heightened fluorescence intensity; results are shown in fig. 7, 8",,,,,,,,,,2018/11/16,,,2018/11/22,
52529663,,458622,21434950,MAIN,18708552,13,,,,,,,,7168263,qualitative,,6089155,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806773,,,,,human,,,,,,,,,,,human,,,"rapid uptake of the title compound with maximum after 10 min was observed; title compound well distributed within the cytoplasm showing areas of heightened fluorescence intensity; results are shown in fig. 7, 8",,,,,,,,,,2018/11/16,,,2018/11/22,
52529664,,458622,21434949,MAIN,18708551,12,,,,,,,,7168263,qualitative,,6089155,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,1806773,,,,,human,,,,,,,,,,,human,,,rapid uptake of the title compound with maximum after ~ 18 min was observed; title compound was well distributed within the cytoplasm with areas of heightened fluorescence intensity; title compound showed promising results towards nuclear uptake; results,,,,,,,,,,2018/11/16,,,2018/11/22,
52529665,,458622,21434944,MAIN,18030294,18,,,,,,,,7168260,qualitative,,6089152,Flux uptake,Flux,Metabolism/Transport,,,,Effect : cell uptake  ,,,,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after 40 min was observed results are shown in fig. 30a-c,,,,,,,,,,2018/11/16,,,2018/11/22,
52529666,,458622,21434947,MAIN,18528001,15,,,,,,,,7168264,qualitative,,6089161,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : biotransformation  ,,1806773,,,,,human,,,,,,,,,,,human,,,"transformation of Cu(II) complex to Cu(I) complex was observed; reoxidation was then occured in normoxic cells, in hypoxic cells reduced form was stable",,,,,,,,,,2018/11/16,,,2018/11/22,
52529667,,458622,21434948,MAIN,18528002,16,,,,,,,,7168264,qualitative,,6089161,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect : biotransformation  ,,1806773,,,,,human,,,,,,,,,,,human,,,"transformation of Cu(II) complex to Cu(I) complex was observed; reoxidation was then occured in normoxic cells, in hypoxic cells reduced form was stable",,,,,,,,,,2018/11/16,,,2018/11/22,
52529668,,458622,21434950,MAIN,18708552,13,,,,,,,,7168281,qualitative,,6089173,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806771,T24 cell line,,,,human,,,,,,,,,,,human,,,"strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 13a, 13b, 14a",,,,,,,,,,2018/11/16,,,2018/11/22,
52529669,,458622,21434951,MAIN,18708553,14,,,,,,,,7168281,qualitative,,6089173,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806771,T24 cell line,,,,human,,,,,,,,,,,human,,,"title compound showed localised uptake and some partial nuclear uptake; title compound showed little or no nuclear uptake; results are shown in fig. 13c, 13d, 14b",,,,,,,,,,2018/11/16,,,2018/11/22,
52529670,,458622,21434949,MAIN,18708551,12,,,,,,,,7168266,qualitative,,6089157,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 11a,,,,,,,,,,2018/11/16,,,2018/11/22,
52529671,,458622,21434950,MAIN,18708552,13,,,,,,,,7168266,qualitative,,6089157,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,"strong uptake of the title compound was observed; title compound showed little or no nuclear uptake; results are shown in fig. 11b, 12a",,,,,,,,,,2018/11/16,,,2018/11/22,
52529672,,458622,21434951,MAIN,18708553,14,,,,,,,,7168266,qualitative,,6089157,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,"title compound showed abnormally long delay before any fluorescence is observed but then showed an equally rapid fluorescence uptake; title compound showed little or no nuclear uptake; results are shown in fig. 11c, 12b",,,,,,,,,,2018/11/16,,,2018/11/22,
52529673,,458622,21434947,MAIN,18528001,15,,,,,,,,7168267,qualitative,,6089158,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,uptake of the title compound was observed; restricted molecular rotation inside the cells was suggested; results are shown in fig. 23; 34,,,,,,,,,,2018/11/16,,,2018/11/22,
52529674,,458622,21434948,MAIN,18528002,16,,,,,,,,7168267,qualitative,,6089158,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,"uptake of the title compound was observed; restricted molecular rotation inside the cells was suggested; results are shown in fig. 24, 34",,,,,,,,,,2018/11/16,,,2018/11/22,
52529675,,458622,21434951,MAIN,18708553,14,,,,,,,,7168274,qualitative,,6089166,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,"rapid uptake of the title compound was observed; title compound well distributed within the cytoplasm showing areas of heightened fluorescence intensity; results are shown in fig. 7, 8",,,,,,,,,,2018/11/16,,,2018/11/22,
52529676,,458622,21434950,MAIN,18708552,13,,,,,,,,7168274,qualitative,,6089166,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,"rapid uptake of the title compound with maximum after 10 min was observed; title compound well distributed within the cytoplasm showing areas of heightened fluorescence intensity; results are shown in fig. 7, 8",,,,,,,,,,2018/11/16,,,2018/11/22,
52529677,,458622,21434949,MAIN,18708551,12,,,,,,,,7168274,qualitative,,6089166,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after ~ 18 min was observed; title compound was well distributed within the cytoplasm with areas of heightened fluorescence intensity; title compound showed promising results towards nuclear uptake; results,,,,,,,,,,2018/11/16,,,2018/11/22,
52529678,,458622,21434944,MAIN,18030294,18,,,,,,,,7168276,qualitative,,6089168,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,,,,,,,,,,,,,,,,,,,,rapid uptake of the title compound with maximum after 40 min was observed results are shown in fig. 30a-c,,,,,,,,,,2018/11/16,,,2018/11/22,
52529679,,458622,21434947,MAIN,18528001,15,,,,,,,,7168275,qualitative,,6089167,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :  biotransformation ,,,,,,,,,,,,,,,,,,,,,"transformation of Cu(II) complex to Cu(I) complex was observed; reoxidation was then occured in normoxic cells, in hypoxic cells reduced form was stable",,,,,,,,,,2018/11/16,,,2018/11/22,
52529680,,458622,21434948,MAIN,18528002,16,,,,,,,,7168275,qualitative,,6089167,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :  biotransformation ,,,,,,,,,,,,,,,,,,,,,"transformation of Cu(II) complex to Cu(I) complex was observed; reoxidation was then occured in normoxic cells, in hypoxic cells reduced form was stable",,,,,,,,,,2018/11/16,,,2018/11/22,
52529681,,458622,21434944,MAIN,18030294,18,,,,,,,,7168277,qualitative,,6089170,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Effect :   cell uptake,,1806768,HeLa cell line,,,,,,,,,,,,,,,,,,"cell fluorescence increased rapidly during the first 20 minutes after which the signal became constant; results are shown in fig. 28a, 28b",,,,,,,,,,2018/11/16,,,2018/11/22,
52529682,,458622,21434950,MAIN,18708552,13,,,,,,,,7168270,LD50,,6089164,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 23: Cytotoxicity studies of zinc(II) bis(thiosemicarbazone) compounds 12, 13 and 14It was noted during fluorescence microscopy studies that cells showed considerable reduction in size, reduced binding to the coverslip and cell vesicularisation, upon exposure to compounds 12, 13 and 14. It was",Cytotoxic,1806771,T24 cell line,,,,human,,,,,,,,,,,human,,,,,25,,µM,4.6,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529683,,458622,21434946,MAIN,18345876,2536202,,,,,,,,7168265,qualitative,,6089156,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Target : IGROV epithelial-like ovarian carcinoma cells of human,Cytotoxic,,,,,,,,,,,,,,,,,,,,"after administration of the title compound at high concentrations reduction of cell number to ~ 87% was observed; ; after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within",,,,,,,,,,2018/11/16,,,2018/11/22,
52529684,,458622,21434943,MAIN,11571517,2316131,,,,,,,,7168269,qualitative,,6089160,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Target : IGROV epithelial-like ovarian carcinoma cells of human,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l < 1e4 - ~ 1e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",,,,,,,,,,2018/11/16,,,2018/11/22,
52529685,,458622,21434950,MAIN,18708552,13,,,,,,,,7168269,qualitative,,6089160,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Target : IGROV epithelial-like ovarian carcinoma cells of human,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 1e4 - ~ 1.5e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",,,,,,,,,,2018/11/16,,,2018/11/22,
52529686,,458622,21434948,MAIN,18528002,16,,,,,,,,7168269,qualitative,,6089160,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Target : IGROV epithelial-like ovarian carcinoma cells of human,Cytotoxic,,,,,,,,,,,,,,,,,,,,"48 h after administration of the title compound at 12.5 - 100 μmol/l ~ 2e5 - ~ 4e5 live cells/ml were remained (~ 8.5e5 live cells in medium alone, ~ 8.8e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 19",,,,,,,,,,2018/11/16,,,2018/11/22,
52529687,,458622,21434950,MAIN,18708552,13,,,,,,,,7168283,LD50,,6089174,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Target : A431 epidermic carcinoma cells of human,Cytotoxic,,,,,,,,,,,,,,,,,,,,,,25,,µM,4.6,result normalized in M; pAur = -log(value),,,,2018/11/16,,,2020/03/17,
52529688,,458622,21434946,MAIN,18345876,2536202,,,,,,,,7168273,qualitative,,6089165,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,Bioassay :  Example 37: In vitro fluorescence imaging study of bis(4-allyl-3-thiosemicarbazonato) acenaphthenequinone zinc(II) (18) using fluorescence microscopyThe behaviour of compound 18 was observed in HeLa cells using a Nikon TE2000-E microscope. Illumination was provided by a IOOW mercury arc lamp which was,Cytotoxic,1806768,HeLa cell line,,,,,,,,,,,,,,,,,,"addition of the title compound to cells resulted in cell death; after addition of the title compound cells showed considerable reduction in size, followed by reduced binding to the coverslip within the period 60-90 minutes",,,,,,,,,,2018/11/16,,,2018/11/22,
52529689,,458622,21434950,MAIN,18708552,13,,,,,,,,7168271,qualitative,,6089163,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 23: Cytotoxicity studies of zinc(II) bis(thiosemicarbazone) compounds 12, 13 and 14It was noted during fluorescence microscopy studies that cells showed considerable reduction in size, reduced binding to the coverslip and cell vesicularisation, upon exposure to compounds 12, 13 and 14. It was",Cytotoxic,1806770,U-937 cell line,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 100 μmol/l ~ 1.2e5 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",,,,,,,,,,2018/11/16,,,2018/11/22,
52529690,,458622,21434949,MAIN,18708551,12,,,,,,,,7168271,qualitative,,6089163,In Vitro (others),In Vitro (others),In Vitro (Efficacy),,,,"Bioassay :  Example 23: Cytotoxicity studies of zinc(II) bis(thiosemicarbazone) compounds 12, 13 and 14It was noted during fluorescence microscopy studies that cells showed considerable reduction in size, reduced binding to the coverslip and cell vesicularisation, upon exposure to compounds 12, 13 and 14. It was",Cytotoxic,1806770,U-937 cell line,,,,human,,,,,,,,,,,human,,,"48 h after administration of the title compound at 100 μmol/l ~ 1.3e5 live cells/ml were remained (~ 5e5 live cells in medium alone, ~ 4.5e5 live cells in 1 : 99 DMSO : medium solution); results are shown in fig. 15",,,,,,,,,,2018/11/16,,,2018/11/22,
